username,message,sentiment,confidence
t4iishy,VapeNation VAPE ME UP VapeNation VAPE ME UP INSIDE VapeNation CAN'T VAPE UP VapeNation VAPE ME UP INSIDE VapeNation VAPE MEEEEE VapeNation CALL MY NAME AND VAPE ME VapeNation,positive,0.359382
thedragonbox,gg ez,positive,0.336094
bloblawslawblog,that dad snap,negative,-0.241037
mikeklitschko,MEI IS LIT,positive,0.213852
shooloo,Is that a pro Hanzo?,neutral,0
chaosjak93,(ditto),neutral,0
ninjanerd127,g g e z,neutral,0
xenoss_,gg ez,positive,0.336094
ch43t0m1um,:) DansGame SuperVinlin PuppeyFace,positive,0.253079
deosen,11 hooks, not enough,negative,-0.72604
masterspark6,What's the name of the song guys? inb4 darude sandstorm,neutral,0
justinrader26,It's a sax not a trumpet,negative,-0.392148
liquidsn,ohnDD,neutral,0
awp17,gg ez,positive,0.336094
turbo_ner,I’m Harambe, and this is my zoo enclosure. I work here with my zoo keeper and my friend, Cecil the lion. Everything in here has a story and a price. One thing I’ve learned after 21 years – you never know WHO is gonna come over that fence,positive,0.217672
mbkvv,SO CLOSE gachiGASM,neutral,0
darkspam,@mooboys, You should've XD'd in chat,positive,0.550996
srace2020,points!,positive,0.238635
persons1,when you actually say something nice instead of saying gg ez,neutral,0
mateuszrb,gg,neutral,0
kerrzhe,nice,positive,0.577905
dearbig,get a life moonmoon,positive,0.323517
rambo_8_u,B4 you fuck me in HeyGuys,negative,-0.686656
robakawake,@Moonmoon_ow, how did u fix the server error for PTR? FeelsBadMan 🔫,negative,-0.762044
lulxdhahaa,🎷,neutral,0
iplayjazzflute,OH SHIT,negative,-0.798227
murilorcbr,!patch,negative,-0.315866
nightbot,PTR patch notes - https://goo.gl/Grjd2i,neutral,0
usernamewastaken12,ImTriggered,neutral,0
t4iishy,OSkomodo MY KEK IS TOP OSkomodo MY LEL IS FREE OSkomodo YOU GUESSED IT RIGHT OSkomodo LEL KEK XD OSkomodo,Error,0
deathbytacos_,G G E Z,neutral,0
shooloo,that pro Hanzo doe,neutral,0
atticoo,10 min left FeelsGoodMan,negative,-0.234762
potatopie5,c'mon mum, one more game before we fuck,negative,-0.66021
rumiroomie,I thought grand master was 4000+? What gives?,positive,0.239251
sealemons270,36 points :O,neutral,0
gdell,this dude still streamin,negative,-0.385543
rastafarimahn,not even Grandmaster?? LUL,negative,-0.551156
lulxdhahaa,10 min PogChamp,Error,0
slashlord,Yo the animated short is about to premier moon,neutral,0
pineapplej0nes,@Moonmoon_ow, GEMMIE THAT DICK,neutral,0
xbonezx,xD,positive,0.581138
nightbot,frick you,neutral,0
iverzah,!ptr,neutral,0
nightbot,read more on the Public Test Region here https://playoverwatch.com/en-us/blog/20157263,neutral,0
if_i_only_have_snus,someone whisper me blizzcon link FeelsBadMan 🔫,neutral,0
collectivesubconscious,lol xd,positive,0.71753
serdarkny,it's liveee,neutral,0
sonree,Big Man Clarence Clemens Kreygasm,negative,-0.225003
mooboys,@Darkspam, XD Kappa,Error,0
zombehbrainz,@Dearbig, moon2MLADY don't forget to change your tampon, friend,negative,-0.435704
raider_unkindled,@MOONMOON_OW doesnt bastion live forever? wont his bird die soon? BibleThump,negative,-0.899867
fanwnnn,🔫,neutral,0
srace2020,C'mon how can you not know this song?,neutral,0
lcymcspicy,xD,positive,0.581138
gentleplayer32,You have 820 Competitive Points? @moonmoon_ow,neutral,0
jmc_78,We watching bastion short together?,negative,-0.651477
vanitydestroyer,@Moonmoon_ow, Did you feed Eddie yet? moon2SMUG,neutral,0
t4iishy,ຈل͜ຈ༽ﾉ·︻̷┻̿═━一I'VE GOT THE STREAM IN MY SIGHTS,positive,0.27071
frozn11,Springsteen is overrated as fck,negative,-0.651463
tyghtz,Show us dva legendary emote,positive,0.391025
morteusnl,@sonree Kreygasm you know it baby,neutral,0
fluxsidedown,Ecks Dee,positive,0.317638
tylmomendog,@rumiroomie, 4000-5000 is grandmaster,Error,0
mikeklitschko,PRO HANZA,neutral,0
a100748632,1800,neutral,0
soulbrother_,You have to work so hard for grandmaster,negative,-0.469684
oppdaf,LESS TALKING MORE AMERICAN,negative,-0.430701
onorekian,FeelsBadMan,neutral,0
seargeantteddy,What the heck man,positive,0.223691
sanderak99,moon2PACHI moon2MLADY moon2MLADY moon2MLADY,Error,0
dearbig,@ZombehBrainZ, you paying to see this noob, hahah poor tard,negative,-0.789928
onlyausername,@rumiroomie, yes grandmaster is 4k-5k SR,neutral,0
walking_clock,bruh it WAS super funny,positive,0.676133
viper459,LOL,positive,0.315755
cruzcontrol22,LUL,neutral,0
maivlol,bruce springstein = 100% american,negative,-0.320562
senjougahara_sama,LUL,neutral,0
lvl1cpu,Moonmoon can't get on PTR LUL,negative,-0.611871
dankdropleton,GOT EM,positive,0.279693
tarrgan,LUL,neutral,0
officialdark_tv,LOL,positive,0.315755
mist_e,LUL,neutral,0
viridious,LUL,neutral,0
reignm4n,LUL,neutral,0
isotonicdesigns,LOL,positive,0.315755
andima88,Fuck you bruh,negative,-0.586403
dillonhd,shouldnt "born to run" be about france?,neutral,0
faarisburo,LUL,neutral,0
metalblacktiger,LOL,positive,0.315755
syntaxau,is this ranked moon2SMUG,neutral,0
mateuszrb,NO FUCK YOU gachiGASM,negative,-0.497964
fallenmon,LOL,positive,0.315755
planf,ULURU,neutral,0
buffman989,LUL,neutral,0
spicymctaco,cmonBruh,neutral,0
officialdark_tv,REKT,neutral,0
t4iishy,LE SWARM HAS ARRIVED bUrself BZZZ BZZZ bUrself LE SWARM HAS ARRIVED bUrself BZZZ BZZZ bUrself LE SWARM HAS ARRIVED bUrself BZZZ BZZZ bUrself LE SWARM HAS ARRIVED bUrself BZZZ BZZZ bUrself LE SWARM HAS ARRIVED bUrself BZZZ BZZZ bUrself LE SWARM HAS ARRIVED bUrself BZZZ BZZZ bUrself,neutral,0
tx_james,OLO,neutral,0
neutralweird,ULURU,neutral,0
ninjanerd127,GOTTEM,neutral,0
sneekyjake,@Moonmoon_ow, does the golden roadhog weapon make the chain of the hook golden aswell?,neutral,0
dankdropleton,LUL,neutral,0
literallytwitchchat,lol,positive,0.315755
crackbabyyy,4Head,neutral,0
haunterishaunt,PTRSD,neutral,0
nekomiku92,ULURU,neutral,0
bojaru,LUL,neutral,0
webmasterbrent,LUL,neutral,0
rocketpoweredmonke,BASTION IN 10 MINUTES,neutral,0
dbdale,P ULURU T ULURU R,Error,0
leckotut,LUL TRIGGERED LUL,Error,0
zatramix,MingLee,neutral,0
hammeratl,Jags Bucs joint practice Hype!,positive,0.214593
frankthetank412,HAHAHA Savage,positive,0.558705
aogeko,Me I is back Kappa,neutral,0
robakawake,FeelsBadMan,neutral,0
onorekian,haHAA,neutral,0
sleepy_jeff_23,gachiGASM fuck you leatherman,negative,-0.57717
sealemons270,ULURU,neutral,0
joenaruto,*suffer,neutral,0
leeipuri,DansGame,neutral,0
rzack,LUL,neutral,0
xal1771,FUCK YOU XD,neutral,0
donikass,Gottem PogChamp,Error,0
omazilla,LUL,neutral,0
kami696969,ULURU,neutral,0
hawaiianxgypsy,THIS SONG IS cmonBruh,positive,0.245271
bloblawslawblog,moon2LUL,neutral,0
cruzcontrol22,haHAA,neutral,0
wraithyzz,haHAA,neutral,0
nekoniisan,PewDiePie ??????,Error,0
usernamewastaken12,haHAA,neutral,0
frankthetank412,I n t e n s e,neutral,0
onlyausername,haHAA,neutral,0
squiddio,my my my how the turntables,neutral,0
frenzyfull,haHAA,neutral,0
gdell,PTR in 2016 LUL,positive,0.361789
donotknowname,haHAA,neutral,0
sealemons270,haHAA,neutral,0
ghostisaact,K,neutral,0
felbladenoz,haHAA,neutral,0
dankdropleton,haHAA,neutral,0
faarisburo,haHAA,neutral,0
nerv402,ULURU,neutral,0
madnuffjew,haHAA,neutral,0
flaerus,haHAA,neutral,0
tipposs,LUL,neutral,0
tyghtz,Hahahaha,positive,0.607063
alp202,LUL,neutral,0
raine94,hahaha.,positive,0.670691
thetoni00737,haHaa,neutral,0
vanitydestroyer,Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG,neutral,0
thedragonbox,IS THIS PTR? haHAA,neutral,0
getwolfed,haHAA,neutral,0
lyoon1595,haHAA,neutral,0
fallenmon,haHAA,neutral,0
phenom_hs,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered .,negative,-0.346064
microlattice,FeelsBadMan,neutral,0
bojaru,haHAA,neutral,0
temoujine,haHAA,neutral,0
msmit71,haHA,positive,0.621675
usernamewastaken12,LUL,neutral,0
nightbot,frick you,neutral,0
jululuian,WOW IM TRIGGERED STAHP,negative,-0.31841
oppdaf,HELP HIM HE'S TURNING INTO BASTION,neutral,0
nebulaspectre,LUL Kappa Xd,positive,0.535563
pierules32,haHAA,neutral,0
infinityhauntlet,do a british accent,positive,0.39788
hawkeyesflame,haHAA 123,neutral,0
dotolol,haHAA,neutral,0
snake3ct,haHAA,neutral,0
allergic_moose,ImTriggered,neutral,0
typhari,haHAA,neutral,0
srace2020,I for one have no problem accessing the PTR.,neutral,0
coobed,haHAA,neutral,0
uzzah,(PTR)iggered,neutral,0
tx_james,ULU OLO,neutral,0
bilis132,haHAA,neutral,0
xzeric,CHange Region for overwatch to ptr on battlenet,neutral,0
wyhot,!cringe,negative,-0.468343
